"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2","100uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C3,C5","0.1uF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","2",""
"C4,C6","0,1uF","~","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm","2",""
"C7,C8","2200uF","~","Capacitor_THT:CP_Radial_D16.0mm_P7.50mm","2",""
"C9,C10","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C11,C12","1uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"D1,D2,D3,D4,D6,D7","1N4007","http://www.vishay.com/docs/88503/1n4001.pdf","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","6",""
"D5","LED","~","LED_THT:LED_D5.0mm","1",""
"J1","Fuente","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1",""
"J2","Salida","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1",""
"J3","Salida_12v","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-3-5.08_1x03_P5.08mm_Horizontal","1",""
"J4,SW1","Cooler","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"J5","+5","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J6","GND","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1",""
"J10","SEL_7905","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1",""
"J11","-5","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J12","ADC+","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"J13","ADC-","~","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","1",""
"R1,R2","8k1","~","-- mixed values --","2",""
"R5","680","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R6,R7","510","~","-- mixed values --","2",""
"R8,R9","E330","~","Resistor_THT:R_Axial_Power_L25.0mm_W6.4mm_P30.48mm","2",""
"Radj_fino1,Radj_fino2","500","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2",""
"Radj_grueso1,Radj_grueso2","5k","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2",""
"U2","LM7805_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U3","LM79L05","http://www.st.com/content/ccc/resource/technical/document/datasheet/c9/16/86/41/c7/2b/45/f2/CD00000450.pdf/files/CD00000450.pdf/jcr:content/translations/en.CD00000450.pdf","Package_TO_SOT_THT:TO-92_Inline","1",""
"U4","LM317_TO-220","http://www.ti.com/lit/ds/symlink/lm317.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U5","LM337_TO220","http://www.ti.com/lit/ds/symlink/lm337-n.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U6","LM7905_TO220","https://www.onsemi.com/pub/Collateral/MC7900-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1",""
"U7,U8","LM385","http://www.ti.com/lit/ds/symlink/tl431.pdf","Package_TO_SOT_THT:TO-92_Inline","2",""
